Date,Titre,Mots-clés,Lien
24/11/2023,Indy lève 40 M€ pour son app de gestion dédiée aux indépendants,"IA, automatisation, gestion, indépendants, start-up, levée de fonds",https://www.lemondeinformatique.fr/actualites/lire-indy-leve-40-meteuro-pour-son-app-de-gestion-dediee-aux-independants-92231.html
24/04/2024,"Simplification pour les entreprises : moins de paperasse, plus d'IT","automatisation, transformation digitale, IT, administration, Cerfa",https://www.lemondeinformatique.fr/actualites/lire-simplification-pour-les-entreprises-moins-de-paperasse-plus-d-it-93576.html
23/04/2024,"Sur fond de cyberattaques, les plaintes à la Cnil repartent à la hausse","cybersécurité, cyberattaques, CNIL, RGPD, incidents de sécurité",https://www.lemondeinformatique.fr/actualites/lire-sur-fond-de-cyberattaques-les-plaintes-a-la-cnil-repartent-a-la-hausse-93565.html
04/02/2025,Le cuisiniste Schmidt combine IT et OT dans son usine de fabrication,"automatisation industrielle, IT, OT, industrie 4.0, transformation",https://www.lemondeinformatique.fr/actualites/lire-le-cuisiniste-schmidt-combine-it-et-ot-dans-son-usine-de-fabrication-95953.html
28/02/2025,CSRD et CS3D : L'Europe réserve son pacte vert aux grands comptes,"réglementation, CSRD, reporting, compliance, Europe",https://www.lemondeinformatique.fr/actualites/lire-csrd-et-cs3d-l-europe-reserve-son-pacte-vert-aux-grands-comptes-96178.html
26/03/2025,Broadcom durcit sa politique sur les licences VMware,"VMware, Broadcom, licences, virtualisation, coûts IT",https://www.lemondeinformatique.fr/actualites/lire-broadcom-durcit-sa-politique-sur-les-licences-vmware-96406.html
25/03/2025,RATP Connect lance une offre d'hébergement de proximité,"Edge computing, hébergement, infrastructures, Grand Paris, RATP",https://www.lemondeinformatique.fr/actualites/lire-ratp-connect-lance-une-offre-d-hebergement-de-proximite-96425.html
09/06/2025,IA et Green IT pour la dernière promotion de start-ups d'EuraTechnologies,"IA, Green IT, start-ups, innovation, environnement, EuraTechnologies",https://www.lemondeinformatique.fr/actualites/lire-ia-et-green-it-pour-la-derniere-promotion-de-start-ups-d-euratechnologies-97068.html
13/06/2025,"Avec 75 M€, La Poste investit dans la deeptech et la cybersécurité","investissement, deeptech, cybersécurité, La Poste, start-ups",https://www.lemondeinformatique.fr/actualites/lire-avec-75-meteuro-la-poste-investit-dans-la-deeptech-et-la-cybersecurite-97137.html
13/06/2025,Canva impose le vibe coding pour le recrutement des développeurs,"recrutement, IA, vibe coding, développeurs, compétences techniques, dépendance IA",https://www.silicon.fr/Thematique/emploi-formation-1373/Breves/canva-impose-vibe-coding-recrutement-developpeurs-482553.htm
13/06/2025,Vivatech 2025 : 3 start-ups à découvrir,"Vivatech, start-ups, innovation, IA, technologies émergentes",https://www.lemondeinformatique.fr/actualites/lire-vivatech-2025-3-start-ups-a-decouvrir-97135.html
16/06/2025,Cyberassurance pour PME/ETI : Colbert Assurances et Foliateam s'allient,"cyberassurance, cybersécurité, PME, ETI, diagnostic, risques",https://www.lemondeinformatique.fr/actualites/lire-cyberassurance-pour-pme-eti-colbert-assurances-et-foliateam-s-allient-97147.html
27/06/2025,David Leaurant prend la présidence d'ADN Ouest,"ADN Ouest, cybersécurité, numérique, Bretagne, Pays de la Loire",https://www.lemondeinformatique.fr/actualites/lire-david-leaurant-prend-la-presidence-d-adn-ouest-97277.html
03/07/2025,La 2e promotion du GenAI Studio de Microsoft adopte les agents IA,"Microsoft, GenAI, agents IA, start-ups, IA générative, automatisation",https://www.lemondeinformatique.fr/actualites/lire-la-2e-promotion-du-genai-studio-de-microsoft-adopte-les-agents-ia-97314.html
04/07/2025,La région Grand Est lance une initiative de cloud sécurisé,"cloud, sécurité, Grand Est, souveraineté, hébergement local",https://www.lemondeinformatique.fr/actualites/lire-la-region-grand-est-lance-une-initiative-de-cloud-securise-97357.html
01/08/2025,"Chez les développeurs, la séniorité joue peu sur l'usage et la perception de l'IA","séniorité, développeurs, IA, compétences, junior, senior, grilles salariales",https://www.silicon.fr/Thematique/emploi-formation-1373/Breves/developpeurs-seniorite-joue-usage-perception-ia-484412.htm
23/10/2025,Le Cigref sort le Chief Digital Officer de sa nomenclature RH,"Cigref, CDO, Chief Digital Officer, métiers SI, nomenclature RH, obsolescence, transformation digitale",https://www.silicon.fr/emploi-formation-1373/cigref-nomenclature-metiers-si-2025-224016
07/11/2025,Une promotion teintée d'IA pour le programme French Tech 2030,"French Tech, IA, start-ups, innovation, financement, 2030",https://www.lemondeinformatique.fr/actualites/lire-une-promotion-teintee-d-ia-pour-le-programme-french-tech-2030-98424.html
03/12/2025,"Spécialisé dans les assistants IA vocaux, Gradium lève 60 M€","IA vocale, assistants IA, Gradium, Kyutai, levée de fonds, 60M€",https://www.lemondeinformatique.fr/actualites/lire-specialise-dans-les-assistants-ia-vocaux-gradium-leve-60-meteuro-98683.html
18/12/2025,Légère embellie pour le secteur numérique en France fin 2025,"secteur numérique, France, Numeum, IA générative, souveraineté, marché IT",https://www.lemondeinformatique.fr/actualites/lire-legere-embellie-pour-le-secteur-numerique-en-france-fin-2025-98855.html
21/01/2026,IA : vers l'obsolescence des métiers de l'informatique ?,"IA, obsolescence, métiers IT, développeurs, administrateurs systèmes, automatisation, déqualification",https://www.silicon.fr/emploi-formation-1373/ia-vers-lobsolescence-des-metiers-de-linformatique-225299
